Category,Title,Description,Icon,Premium Link,Free User Link,Free Gated
Shortcuts Tweaks,Wetr,Rain or Shine Update Your Lockscreen with Stunning Live Weather.,wetr.jpg,https://www.icloud.com/shortcuts/bad1df940701400ca44c5f3c62109c0e,/BecomePremiumUser/,Yes
Shortcuts Tweaks,Waltz,This shortcut lets you automate switching between your installed wallpapers.,waltz.jpg,https://www.icloud.com/shortcuts/c002bd4d970e4365a2e94a03c8e990b3,/BecomePremiumUser/,Yes
Shortcuts Tweaks,Accessible,iOS 18+ Filesystem Viewer & Extractor.,accessible.jpg,https://www.icloud.com/shortcuts/08ae998de1d7406c94f4ac594f8249d7,/BecomePremiumUser/,Yes
Utilities Stores,AdGuard DNS,Free Ad & Tracker Blocker.,adguard-dns.png,https://apps.senumy.com/secure/configs/adguard-dns.mobileconfig,/BecomePremiumUser/,Yes
Utilities Stores,IPA Installer,Install an iPA from a link directly on your device.,ipainstaller.webp,https://apps.senumy.com/secure/configs/ipainstaller.mobileconfig,/BecomePremiumUser/,Yes
Utilities Stores,iConfig,A mobileconfig generator for iPhone & iPad.,iconfig.webp,https://apps.senumy.com/secure/configs/iconfig.mobileconfig,/BecomePremiumUser/,Yes
Utilities Stores,iDevice Info,Retrieve information about your iPhone iPad and more.,ideviceinfo.webp,https://apps.senumy.com/secure/configs/ideviceinfo.mobileconfig,/BecomePremiumUser/,Yes
Customize Themes and more,Ela themes,Handpicked the best theme collection for iOS 16/17 running iPhones and iPads.,ela.png,https://semijbapps.com/ela/secure/ela.mobileconfig,/BecomePremiumUser/,Yes
Customize Themes and more,Android on iOS,Run Android apps and experience Android features on your iOS device with ease!,Android-on-iOS.png,https://semijbapps.com/mobile_os/trygalaxy.mobileconfig,/BecomePremiumUser/,Yes
Customize Themes and more,ryOS,Use ryOS Macintosh to experience classic macOS features on iPhone and iPad. No Mac required — everything runs in one app.,ryOS_favicon.ico,https://apps.senumy.com/app/macios.mobileconfig,/BecomePremiumUser/,Yes
